n, v0, v1
7392, 0.321237, 0.071294
7408, 0.317969, 0.069527
7424, 0.480699, 0.096804
7440, 0.320413, 0.070206
7456, 0.326381, 0.073048
7472, 0.323635, 0.069721
7488, 0.333995, 0.076075
7504, 0.337546, 0.074093
7520, 0.342017, 0.083917
7536, 0.334661, 0.071493
7552, 0.380857, 0.089536
7568, 0.335891, 0.072951
7584, 0.339993, 0.075763
7600, 0.337666, 0.073400
7616, 0.350251, 0.076797
7632, 0.341634, 0.074360
7648, 0.349487, 0.078607
7664, 0.344434, 0.074756
7680, 0.752997, 0.110805
7696, 0.348883, 0.075540
7712, 0.355406, 0.079094
7728, 0.351218, 0.075784
7744, 0.364819, 0.079442
7760, 0.355432, 0.075975
7776, 0.360549, 0.080020
7792, 0.366899, 0.077363
7808, 0.399736, 0.093966
7824, 0.367950, 0.080692
7840, 0.372371, 0.084228
7856, 0.370020, 0.078659
7872, 0.379159, 0.081982
7888, 0.371011, 0.082019
7904, 0.389664, 0.086842
7920, 0.373173, 0.083868
7936, 0.575482, 0.110756
7952, 0.377928, 0.082772
7968, 0.383499, 0.084559
7984, 0.380876, 0.081963
8000, 0.396484, 0.085474
8016, 0.386257, 0.086667
8032, 0.396625, 0.087280
8048, 0.389503, 0.085586
8064, 0.452251, 0.105387
8080, 0.393435, 0.085461
8096, 0.400646, 0.088220
8112, 0.397560, 0.085915
8128, 0.412881, 0.092085
8144, 0.400598, 0.086848
8160, 0.410513, 0.090265
8176, 0.406462, 0.088513
8192, 0.933617, 0.137836
